City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bathsheba,BB,2022-07-18 21:25:24,13.2167,-59.5167,302.49,82,40,9.26
1,Huarmey,PE,2022-07-18 21:25:25,-10.0681,-78.1522,292.53,74,64,5.39
2,Manzil Salim,TN,2022-07-18 21:25:26,35.8567,8.4765,301.44,24,0,3.57
3,Punta Arenas,CL,2022-07-18 21:25:27,-53.15,-70.9167,278.21,75,75,13.38
4,Nome,US,2022-07-18 21:20:31,64.5011,-165.4064,278.19,87,100,10.8
5,Ancud,CL,2022-07-18 21:25:28,-41.8697,-73.8203,279.39,71,12,3.37
6,Hobart,AU,2022-07-18 21:25:29,-42.8794,147.3294,279.41,83,75,3.6
7,Mataura,NZ,2022-07-18 21:25:14,-46.1927,168.8643,279.53,97,100,0.75
8,Vaini,TO,2022-07-18 21:25:30,-21.2,-175.2,297.24,88,75,4.63
9,Saldanha,ZA,2022-07-18 21:25:31,-33.0117,17.9442,283.18,78,0,5.74
10,Vao,NC,2022-07-18 21:25:32,-22.6667,167.4833,295.78,86,100,6.37
11,Pinega,RU,2022-07-18 21:25:33,64.7001,43.3936,287.96,72,100,1.88
12,Lata,PT,2022-07-18 21:25:34,40.1629,-8.3327,289.15,94,1,1.11
13,Marawi,PH,2022-07-18 21:25:35,7.9986,124.2928,293.59,96,100,1.36
14,Atuona,PF,2022-07-18 21:25:36,-9.8,-139.0333,298.31,70,40,7.27
15,Provideniya,RU,2022-07-18 21:21:46,64.3833,-173.3,279.21,75,100,5.0
16,Lompoc,US,2022-07-18 21:21:04,34.6391,-120.4579,307.05,54,0,7.2
17,Jamestown,US,2022-07-18 21:25:41,42.097,-79.2353,296.45,85,100,6.17
18,Wanning,CN,2022-07-18 21:25:41,18.8003,110.3967,300.87,91,98,4.17
19,Hermanus,ZA,2022-07-18 21:25:24,-34.4187,19.2345,285.26,83,100,1.9
20,Tuktoyaktuk,CA,2022-07-18 21:25:43,69.4541,-133.0374,290.15,82,100,5.14
21,Cape Town,ZA,2022-07-18 21:21:19,-33.9258,18.4232,286.99,80,0,3.13
22,Dikson,RU,2022-07-18 21:25:44,73.5069,80.5464,279.7,81,99,5.83
23,Zelenogorskiy,RU,2022-07-18 21:25:44,55.0333,87.0,283.2,99,100,1.55
24,New Norfolk,AU,2022-07-18 21:25:45,-42.7826,147.0587,279.22,87,89,0.45
25,Sheridan,US,2022-07-18 21:25:46,44.8333,-106.9173,312.05,17,0,4.63
26,Victoria,HK,2022-07-18 21:22:18,22.2855,114.1577,303.36,80,100,4.02
27,Hilo,US,2022-07-18 21:25:14,19.7297,-155.09,306.08,74,75,4.63
28,Castro,BR,2022-07-18 21:25:48,-24.7911,-50.0119,287.52,98,100,1.53
29,Kapaa,US,2022-07-18 21:25:40,22.0752,-159.319,301.33,75,75,8.75
30,Ushuaia,AR,2022-07-18 21:25:49,-54.8,-68.3,279.96,53,40,5.14
