City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tilichiki,RU,60.4667,166.1,52.772000000000034,74,100,2.16,overcast clouds
1,Ushuaia,AR,-54.8,-68.3,39.092,60,20,4.12,few clouds
2,Hermanus,ZA,-34.4187,19.2345,51.08000000000004,88,99,3.27,overcast clouds
3,Punta Arenas,CL,-53.15,-70.9167,39.48800000000004,70,75,6.17,broken clouds
4,Grindavik,IS,63.8424,-22.4338,54.33800000000005,100,100,9.26,moderate rain
5,Bluff,NZ,-46.6,168.3333,45.067999999999984,89,100,10.17,overcast clouds
6,Hobart,AU,-42.8794,147.3294,44.725999999999985,93,69,1.54,broken clouds
7,Amapa,BR,1.0,-52.0,80.924,93,76,0.79,broken clouds
8,Khorixas,NA,-20.3667,14.9667,61.358000000000004,36,33,2.39,scattered clouds
9,Ostrovnoy,RU,68.0531,39.5131,61.141999999999996,72,100,8.39,overcast clouds
10,Pangnirtung,CA,66.1451,-65.7125,44.86999999999996,87,40,2.57,scattered clouds
11,Kruisfontein,ZA,-34.0033,24.7314,55.148000000000025,50,13,3.11,few clouds
12,Alofi,NU,-19.0595,-169.9187,66.36199999999997,94,40,1.03,scattered clouds
13,The Valley,AI,18.217,-63.0578,87.92599999999999,66,40,7.72,scattered clouds
14,Faya,SA,18.3851,42.4509,70.17799999999997,61,100,2.53,overcast clouds
15,Kuusamo,FI,65.9667,29.1833,66.50600000000003,77,0,5.66,light rain
16,Yoichi,JP,43.2039,140.7703,69.20600000000003,86,100,0.82,overcast clouds
17,Takoradi,GH,4.8845,-1.7554,75.48800000000006,88,100,4.86,overcast clouds
18,Pleasanton,US,37.6624,-121.8747,87.89000000000001,44,0,3.09,clear sky
19,Vardo,NO,70.3705,31.1107,59.25199999999998,94,75,2.57,broken clouds
20,Riyadh,SA,24.6877,46.7219,97.21400000000004,13,99,4.34,overcast clouds
21,Edd,ER,13.9297,41.6925,91.34600000000006,66,100,2.7,overcast clouds
22,Butaritari,KI,3.0707,172.7902,81.98599999999996,75,12,8.28,few clouds
23,Chokurdakh,RU,70.6333,147.9167,46.022000000000034,62,99,5.4,overcast clouds
24,Arraial Do Cabo,BR,-22.9661,-42.0278,75.434,73,20,8.23,few clouds
25,Cape Town,ZA,-33.9258,18.4232,56.39000000000002,81,20,2.57,few clouds
26,Hami,CN,42.8,93.45,81.06799999999998,15,0,4.09,clear sky
27,Vangaindrano,MG,-23.35,47.6,68.03599999999997,85,89,1.62,overcast clouds
28,Aguimes,ES,27.9054,-15.4461,81.93200000000002,61,0,10.8,clear sky
29,Jamestown,US,42.097,-79.2353,78.80000000000001,52,40,4.12,scattered clouds
30,Saint Anthony,US,45.0205,-93.218,80.36600000000001,66,100,4.12,overcast clouds
31,Mgandu,TZ,-5.95,34.1333,64.65199999999999,51,11,5.28,few clouds
32,Kapaa,US,22.0752,-159.319,82.99399999999997,70,40,8.75,scattered clouds
33,Lodja,CD,-3.4833,23.4333,81.23000000000005,33,100,0.91,overcast clouds
34,Hilo,US,19.7297,-155.09,83.55199999999998,92,100,1.54,overcast clouds
35,North Platte,US,41.1239,-100.7654,83.58800000000005,65,75,1.54,broken clouds
36,Airai,TL,-8.9266,125.4092,53.41999999999996,71,89,1.74,overcast clouds
37,Pisco,PE,-13.7,-76.2167,64.72400000000002,77,20,3.6,mist
38,Araouane,ML,18.9048,-3.5265,103.51400000000004,8,21,4.19,few clouds
39,Esil,KZ,51.9556,66.4042,71.36600000000001,52,100,5.22,overcast clouds
40,Paita,PE,-5.0892,-81.1144,68.32400000000001,77,96,7.12,overcast clouds
41,Kanniyakumari,IN,8.0833,77.5667,78.22400000000002,83,28,3.68,scattered clouds
42,Hithadhoo,MV,-0.6,73.0833,81.28399999999999,76,100,5.94,overcast clouds
43,Rikitea,PF,-23.1203,-134.9692,75.70399999999995,75,97,5.88,overcast clouds
44,Coihaique,CL,-45.5752,-72.0662,35.81600000000001,75,100,2.57,overcast clouds
45,Tuktoyaktuk,CA,69.4541,-133.0374,59.26999999999996,82,100,8.75,light rain
46,Broome,US,42.2506,-75.833,78.74600000000005,52,20,4.47,few clouds
47,Barrow,US,71.2906,-156.7887,35.88800000000005,93,100,7.2,moderate rain
48,Nikolskoye,RU,59.7035,30.7861,68.18000000000004,78,89,2.72,overcast clouds
49,Palaia Fokaia,GR,37.72,23.9463,88.12400000000002,47,0,2.05,clear sky
50,Manzhouli,CN,49.6,117.4333,58.208000000000006,92,0,4.18,clear sky
51,Yellowknife,CA,62.456,-114.3525,70.592,49,20,2.06,few clouds
52,Opuwo,NA,-18.0607,13.84,63.391999999999996,27,7,1.47,clear sky
53,Upernavik,GL,72.7868,-56.1549,38.89399999999997,89,95,5.16,overcast clouds
54,Tynset,NO,62.2759,10.7824,51.69199999999999,86,100,6.86,light rain
55,Troitsko-Pechorsk,RU,62.7084,56.1964,49.53200000000002,75,90,0.32,overcast clouds
56,Dunedin,NZ,-45.8742,170.5036,46.47200000000004,96,100,5.2,overcast clouds
57,Mataura,NZ,-46.1927,168.8643,44.74399999999997,97,100,3.34,overcast clouds
58,Sao Filipe,CV,14.8961,-24.4956,78.16999999999996,82,87,1.75,overcast clouds
59,Port Alfred,ZA,-33.5906,26.891,65.49800000000002,53,11,3.75,few clouds
60,Kloulklubed,PW,7.0419,134.2556,74.174,71,100,0.76,overcast clouds
61,Muros,ES,42.7762,-9.0603,70.10600000000002,65,5,6.42,clear sky
62,Xining,CN,36.6167,101.7667,57.866000000000014,84,100,0.46,overcast clouds
63,Nantucket,US,41.2835,-70.0995,82.81400000000004,77,0,3.6,clear sky
64,Slave Lake,CA,55.2834,-114.769,70.05199999999998,64,0,3.6,clear sky
65,Oktyabrskoye,RU,43.0645,44.7417,66.61400000000003,82,22,2.0,few clouds
66,Albany,US,42.6001,-73.9662,78.44000000000003,51,100,0.45,overcast clouds
67,Bredasdorp,ZA,-34.5322,20.0403,51.27799999999996,92,100,2.56,overcast clouds
68,Tsaratanana,MG,-16.7833,47.65,65.04800000000003,75,0,2.61,clear sky
69,Busselton,AU,-33.65,115.3333,49.225999999999985,84,0,3.24,clear sky
70,Abu Kamal,SY,34.4506,40.9171,92.55199999999998,13,0,3.4,clear sky
71,East London,ZA,-33.0153,27.9116,64.21999999999997,54,26,4.08,scattered clouds
72,San Jeronimo,PE,-11.9472,-75.2829,55.04000000000002,65,100,1.53,overcast clouds
